"tree" "subplot" "plot" "Pc" "Hs" "Cc" "npodh"
"401" 401 81 41 1 8 9 19
"402" 402 82 41 1 0 10 11
"403" 403 81 41 1 5 11 20
"404" 404 82 41 1 0 9 10
"405" 405 81 41 1 4 10 19
"406" 406 82 41 1 4 18 30
"407" 407 81 41 1 1 10 15
"408" 408 82 41 1 0 0 4
"409" 409 81 41 1 3 20 25
"410" 410 82 41 1 0 1 5
"411" 411 83 42 1 1 1 4
"412" 412 84 42 0 18 33 69
"413" 413 83 42 1 5 4 10
"414" 414 84 42 0 9 5 15
"415" 415 83 42 1 10 22 47
"416" 416 84 42 1 5 7 15
"417" 417 83 42 1 1 1 2
"418" 418 84 42 0 5 12 31
"419" 419 83 42 1 1 3 7
"420" 420 84 42 1 12 8 21
"421" 421 85 43 1 22 4 26
"422" 422 86 43 1 1 9 16
"423" 423 85 43 1 13 4 21
"424" 424 86 43 1 7 22 34
"425" 425 85 43 1 30 30 68
"426" 426 86 43 1 2 0 2
"427" 427 85 43 1 5 4 11
"428" 428 86 43 1 0 0 0
"429" 429 85 43 1 2 8 20
"430" 430 86 43 1 0 1 5
